indicatorNid,indicatorName,parentColumn,unit,subgroup,numerator,denominator,aggregationType,parentType,formId,periodicity,aggregationRule,highIsGood,typeDetailId,area,collection,sector,subsector
551,"Percentage of Media demonstration sessions where Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown and replayed ",,percent,Video 4 was shown and replayed ,550,149,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
552,"Media demonstration sessions where Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown and replayed ",,number,Video 5 was shown and replayed ,F3Q15,,number,dropdown,3,monthly,and$in(data.F3Q5:[51]),TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
553,"Percentage of Media demonstration sessions where Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown and replayed ",,percent,Video 5 was shown and replayed ,552,150,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
554,"Media demonstration sessions where Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown and replayed ",,number,Video 6 was shown and replayed ,F3Q15,,number,dropdown,3,monthly,and$in(data.F3Q5:[52]),TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
555,"Percentage of Media demonstration sessions where Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown and replayed ",,percent,Video 6 was shown and replayed ,554,151,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
556,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep1: Promo"" was good ",,number,response to video 1 was good ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[47]),TRUE,63,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
557,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep1: Promo"" was good ",,percent,response to video 1 was good,556,146,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
558,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep1: Promo"" was neutral",,number,response to video 1 was neutral,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[47]),TRUE,64,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
559,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep1: Promo"" was neutral",,percent,response to video 1 was neutral,558,146,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
560,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep1: Promo"" was bad ",,number,response to video 1 was bad ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[47]),TRUE,65,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
561,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep1: Promo"" was bad",,percent,response to video 1 was bad,560,146,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
562,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep1: Promo"" was really bad",,number,response to video 1 was really bad,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[47]),TRUE,66,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
563,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep1: Promo"" was really bad",,percent,response to video 1 was really bad,562,146,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
564,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was good ",,number,response to video 2 was good ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[48]),TRUE,63,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
565,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was good ",,percent,response to video 2 was good ,564,147,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
566,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was neutral",,number,response to video 2 was neutral,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[48]),TRUE,64,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
567,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was neutral",,percent,response to video 2 was neutral,566,147,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
568,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was bad ",,number,response to video 2 was bad ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[48]),TRUE,65,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
569,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was bad ",,percent,response to video 2 was bad ,568,147,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
570,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was really bad",,number,response to video 2 was really bad,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[48]),TRUE,66,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
571,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was really bad",,percent,response to video 2 was really bad,570,147,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
572,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was good ",,number,response to video 3 was good,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[49]),TRUE,63,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
573,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was good",,percent,response to video 3 was good,572,148,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
574,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was neutral",,number,response to video 3 was neutral,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[49]),TRUE,64,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
575,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was neutral",,percent,response to video 3 was neutral,574,148,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
576,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was bad ",,number,response to video 3 was bad ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[49]),TRUE,65,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
577,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was bad ",,percent,response to video 3 was bad ,576,148,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
578,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was really bad",,number,response to video 3 was really bad,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[49]),TRUE,66,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
579,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was really bad",,percent,response to video 3 was really bad,578,148,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
580,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was good ",,number,response to video 4 was good ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[50]),TRUE,63,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
581,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was good ",,percent,response to video 4 was good ,580,149,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
582,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was neutral",,number,response to video 4 was neutral,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[50]),TRUE,64,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
583,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was neutral",,percent,response to video 4 was neutral,582,149,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
584,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was bad ",,number,response to video 4 was bad ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[50]),TRUE,65,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
585,"Percentage of Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was bad ",,percent,response to video 4 was bad ,584,149,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
586,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was really bad",,number,response to video 4 was really bad,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[50]),TRUE,66,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
587,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was really bad",,percent,response to video 4 was really bad,586,149,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
588,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was good ",,number,response to video 5 was good ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[51]),TRUE,63,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
589,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was good ",,percent,response to video 5 was good ,588,150,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
590,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was neutral",,number,response to video 5 was neutral,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[51]),TRUE,64,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
591,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was neutral",,percent,response to video 5 was neutral,590,150,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
592,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was bad ",,number,response to video 5 was bad ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[51]),TRUE,65,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
593,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was bad ",,percent,response to video 5 was bad ,592,150,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
594,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was really bad",,number,response to video 5 was really bad,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[51]),TRUE,66,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
595,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was really bad",,percent,response to video 5 was really bad,594,150,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
596,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was good ",,number,response to video 6 was good ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[52]),TRUE,63,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
597,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was neutral",,number,response to video 6 was neutral,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[52]),TRUE,64,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
598,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was neutral",,percent,response to video 6 was neutral,597,151,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
599,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was bad ",,number,response to video 6 was bad ,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[52]),TRUE,65,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
600,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was bad ",,percent,response to video 6 was bad ,599,151,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
601,"Media demonstration sessions where the audience's response to Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was really bad",,number,response to video 6 was really bad,F3Q16,,number,dropdown,3,monthly,and$in(data.F3Q5:[52]),TRUE,66,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
602,"Percentage of media demonstration sessions where the audience's response to Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was really bad",,percent,response to video 6 was really bad,601,151,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
603,Media demonstration sessions where there was follow up discussion or Q&A after video was shown,,number,follow up discussion,F3Q17,,number,dropdown,3,monthly,,TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
604,Percentage of media demonstration sessions where there was follow up discussion or Q&A after video was shown,,percent,follow up discussion,603,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
605,"Media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep1: Promo"" was shown",,number,follow up discussion,F3Q17,,number,dropdown,3,monthly,and$in(data.F3Q5:[47]),TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
606,"Percentage of media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep1: Promo"" was shown",,percent,follow up discussion,605,146,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
607,"Media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was shown",,number,follow up discussion,F3Q17,,number,dropdown,3,monthly,and$in(data.F3Q5:[48]),TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
608,"Percentage of media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was shown",,percent,follow up discussion,607,147,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
611,"Media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was shown",,number,follow up discussion,F3Q17,,number,dropdown,3,monthly,and$in(data.F3Q5:[49]),TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
612,"Percentage of media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was shown",,percent,follow up discussion,611,148,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
613,"Media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown",,number,follow up discussion,F3Q17,,number,dropdown,3,monthly,and$in(data.F3Q5:[50]),TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
614,"Percentage of media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown",,percent,follow up discussion,613,149,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
615,"Media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown",,number,follow up discussion,F3Q17,,number,dropdown,3,monthly,and$in(data.F3Q5:[51]),TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
616,"Percentage of media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown",,percent,follow up discussion,615,150,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
617,"Media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown",,number,follow up discussion,F3Q17,,number,dropdown,3,monthly,and$in(data.F3Q5:[52]),TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
618,"Percentage of media demonstration sessions where there was follow up discussion or Q&A after Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown",,percent,follow up discussion,617,151,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
619,"Media demo session supervised where video ""Friendship with health : Ep1: Promo"" was shown ",,number,Video 1,F9Q5,,number,dropdown,9,monthly,,TRUE,156,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
620,"Media demo session supervised where video ""Friendship with health : Ep2 : Sangeeta’s Race"" was shown ",,number,Video 2,F9Q5,,number,dropdown,9,monthly,,TRUE,157,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
621,"Media demo session supervised where video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was shown ",,number,Video 3,F9Q5,,number,dropdown,9,monthly,,TRUE,158,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
622,"Media demo session supervised where video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown ",,number,Video 4,F9Q5,,number,dropdown,9,monthly,,TRUE,159,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
623,"Media demo session supervised where video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown ",,number,Video 5,F9Q5,,number,dropdown,9,monthly,,TRUE,160,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
624,"Media demo session supervised where video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown ",,number,Video 6 ,F9Q5,,number,dropdown,9,monthly,,TRUE,161,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
690,Total members present at hemocue sessions,,number,total,F4NTT1,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
691,Number of  Adolescent girls present during hemocue session,,number,Adolescent girls,F4N13,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
692,Percentage of  Adolescent girls present during hemocue session,,percent,Adolescent girls,691,690,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
695,Women in Reproductive Age groups (WRA) present during hemocue session,,number,Women in Reproductive Age groups (WRA) ,F4N14,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
696,Number of  Women in Reproductive Age groups (WRA) present during hemocue session,,number,Number of  Women in Reproductive Age groups (WRA) ,F4N14,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
697,Older Women  present during hemocue session,,number,Older Women,F4N15,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
701,Number of  Older Women  present during hemocue session,,number,Older Woman,F4N15,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
707,Men present during hemocue session,,number, Men,F4N16,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
709,Number of  Men present during hemocue session,,number,Men,F4N16,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
710,Percentage of Men present during hemocue session,,percent, Men,709,690,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
711,Percentage of Women in Reproductive Age groups (WRA) present during hemocue session,,percent,Women in Reproductive Age groups (WRA),696,690,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
712,Percentage of  Older Women  present during hemocue session,,percent,Older Women,701,690,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
713,Hemocue sessions where there was follow up discussion,,number,Follow up discussion,F4N166,,number,dropdown,4,monthly,,TRUE,75,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
714,Women tested referred to higher facility,,number,Women,F4N167,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
715,Percentage of Women tested referred to higher facility,,percent,Women,714,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
716,Hemocue sessions done during T4 approach sessions,,number,T4 Approach,F10Q6,,number,dropdown,10,monthly,,TRUE,169,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
717,Percentage of Hemocue sessions done during T4 approach sessions,,percent,Hemocue Sessions,716,220,percent,indicator,10,monthly,,TRUE,,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
718,Hemocue sessions done during Community Engagement meetings,,number,Community Engagement meetings,F10Q6,,number,dropdown,10,monthly,,TRUE,170,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
719,Percentage of Hemocue sessions done during Community Engagement meetings,,percent,Community Engagement meetings,718,220,percent,indicator,10,monthly,,TRUE,,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
720,Hemocue sessions done during Media Demonstration sessions,,number,Media Demonstration,F10Q6,,number,dropdown,10,monthly,,TRUE,171,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
721,Percentage of Hemocue sessions done during Media Demonstration sessions,,percent,Media Demonstration,720,220,percent,indicator,10,monthly,,TRUE,,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
722,Hemocue sessions done during SHG meetings,,number,SHG,F10Q6,,number,dropdown,10,monthly,,TRUE,172,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
723,Percentage of Hemocue sessions done during SHG meetings,,percent,SHG,722,220,percent,indicator,10,monthly,,TRUE,,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
724,Hemocue sessions where there was no follow up discussion,,number,follow up discussion ,F10Q8,,number,dropdown,10,monthly,,TRUE,175,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
725,Percentage of Hemocue sessions where there was no follow up discussion ,,percent,follow up discussion,724,220,percent,indicator,10,monthly,,TRUE,,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
726,Hemocue sessions where community facilitator did not follow the protocol for sample collection,,number,Sample collection,F10Q9,,number,dropdown,10,monthly,,TRUE,175,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
727,Percentage of Hemocue sessions where community facilitator did not follow the protocol for sample collection,,percent,Sample Collection,726,220,percent,indicator,10,monthly,,TRUE,,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
728,Hemocue sessions where community facilitator did not share test results with women tested,,number,Test Results,F10Q10,,number,dropdown,10,monthly,,TRUE,175,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
729,Percentage of Hemocue sessions where community facilitator did not share test results with women tested,,percent,Test Results,728,220,percent,indicator,10,monthly,,TRUE,,data.F10Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
739,"Percentage of  Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""",,percent,Women,117,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
